Mon Jan 19 15:30:42 2026 | LOOK UP | Violations: 1 | Risk: 98
Mon Jan 19 15:30:54 2026 | MULTIPLE FACES | Risk: 12
Mon Jan 19 15:30:54 2026 | MULTIPLE FACES | Risk: -8
Mon Jan 19 15:31:04 2026 | LOOK UP | Violations: 35 | Risk: -2
Mon Jan 19 15:31:04 2026 | LOOK UP | Violations: 36 | Risk: -2
Mon Jan 19 15:31:04 2026 | LOOK UP | Violations: 37 | Risk: -2
Mon Jan 19 15:31:04 2026 | LOOK UP | Violations: 38 | Risk: -2
Mon Jan 19 15:31:04 2026 | LOOK UP | Violations: 39 | Risk: -2
Mon Jan 19 15:31:04 2026 | LOOK UP | Violations: 40 | Risk: -2
Mon Jan 19 15:31:04 2026 | LOOK UP | Violations: 41 | Risk: -2
Mon Jan 19 15:31:04 2026 | LOOK UP | Violations: 42 | Risk: -2
Mon Jan 19 15:31:04 2026 | LOOK UP | Violations: 43 | Risk: -2
Mon Jan 19 15:31:04 2026 | LOOK UP | Violations: 44 | Risk: -2
Mon Jan 19 15:31:04 2026 | LOOK UP | Violations: 45 | Risk: -2
Mon Jan 19 15:31:04 2026 | LOOK UP | Violations: 46 | Risk: -2
Mon Jan 19 15:31:04 2026 | LOOK UP | Violations: 47 | Risk: -2
Mon Jan 19 15:31:04 2026 | LOOK UP | Violations: 48 | Risk: -2
Mon Jan 19 15:31:04 2026 | LOOK UP | Violations: 49 | Risk: -2
Mon Jan 19 15:31:04 2026 | LOOK UP | Violations: 50 | Risk: -2
Mon Jan 19 15:31:04 2026 | LOOK UP | Violations: 51 | Risk: -2
Mon Jan 19 15:31:04 2026 | LOOK UP | Violations: 52 | Risk: -2
Mon Jan 19 15:31:04 2026 | LOOK UP | Violations: 53 | Risk: -2
Mon Jan 19 15:31:04 2026 | LOOK UP | Violations: 54 | Risk: -2
Mon Jan 19 15:31:04 2026 | LOOK UP | Violations: 55 | Risk: -2
Mon Jan 19 15:31:04 2026 | LOOK UP | Violations: 56 | Risk: -2
Mon Jan 19 15:31:04 2026 | LOOK UP | Violations: 57 | Risk: -2
Mon Jan 19 15:31:04 2026 | LOOK UP | Violations: 58 | Risk: -2
Mon Jan 19 15:31:04 2026 | LOOK UP | Violations: 59 | Risk: -2
Mon Jan 19 15:31:04 2026 | LOOK UP | Violations: 60 | Risk: -2
Mon Jan 19 15:31:05 2026 | LOOK UP | Violations: 61 | Risk: -2
Mon Jan 19 15:31:05 2026 | LOOK UP | Violations: 62 | Risk: -2
Mon Jan 19 15:31:05 2026 | LOOK UP | Violations: 63 | Risk: -2
Mon Jan 19 15:31:05 2026 | LOOK UP | Violations: 64 | Risk: -2
Mon Jan 19 15:31:05 2026 | LOOK UP | Violations: 65 | Risk: -2
Mon Jan 19 15:31:05 2026 | LOOK UP | Violations: 66 | Risk: -2
Mon Jan 19 15:31:05 2026 | LOOK UP | Violations: 67 | Risk: -2
Mon Jan 19 15:31:05 2026 | LOOK UP | Violations: 68 | Risk: -2
Mon Jan 19 15:31:05 2026 | LOOK UP | Violations: 69 | Risk: -2
Mon Jan 19 15:31:05 2026 | LOOK UP | Violations: 70 | Risk: -2
Mon Jan 19 15:31:05 2026 | LOOK UP | Violations: 71 | Risk: -2
Mon Jan 19 15:31:05 2026 | LOOK UP | Violations: 72 | Risk: -2
Mon Jan 19 15:31:05 2026 | LOOK UP | Violations: 73 | Risk: -2
Mon Jan 19 15:31:05 2026 | LOOK UP | Violations: 74 | Risk: -2
Mon Jan 19 15:31:05 2026 | LOOK UP | Violations: 75 | Risk: -2
Mon Jan 19 15:31:05 2026 | LOOK UP | Violations: 76 | Risk: -2
Mon Jan 19 15:31:05 2026 | LOOK UP | Violations: 77 | Risk: -2
Mon Jan 19 15:31:05 2026 | LOOK UP | Violations: 78 | Risk: -2
Mon Jan 19 15:31:05 2026 | LOOK UP | Violations: 79 | Risk: -2
Mon Jan 19 15:31:05 2026 | LOOK UP | Violations: 80 | Risk: -2
Mon Jan 19 15:31:05 2026 | LOOK UP | Violations: 81 | Risk: -2
Mon Jan 19 15:31:05 2026 | LOOK UP | Violations: 82 | Risk: -2
Mon Jan 19 15:31:05 2026 | LOOK UP | Violations: 83 | Risk: -2
Mon Jan 19 15:31:05 2026 | LOOK UP | Violations: 84 | Risk: -2
Mon Jan 19 15:31:05 2026 | LOOK UP | Violations: 85 | Risk: -2
Mon Jan 19 15:31:05 2026 | LOOK UP | Violations: 86 | Risk: -2
Mon Jan 19 15:31:11 2026 | LOOK UP | Violations: 87 | Risk: -2
Mon Jan 19 15:31:11 2026 | LOOK UP | Violations: 88 | Risk: -2
Mon Jan 19 15:31:11 2026 | LOOK UP | Violations: 89 | Risk: -2
Mon Jan 19 15:31:11 2026 | LOOK UP | Violations: 90 | Risk: -2
Mon Jan 19 15:31:11 2026 | LOOK UP | Violations: 91 | Risk: -2
Mon Jan 19 15:31:11 2026 | LOOK UP | Violations: 92 | Risk: -2
Mon Jan 19 15:31:11 2026 | LOOK UP | Violations: 93 | Risk: -2
Mon Jan 19 15:31:11 2026 | LOOK UP | Violations: 94 | Risk: -2
Mon Jan 19 15:31:11 2026 | LOOK UP | Violations: 95 | Risk: -2
Mon Jan 19 15:31:12 2026 | LOOK UP | Violations: 96 | Risk: -2
Mon Jan 19 15:31:12 2026 | LOOK UP | Violations: 97 | Risk: -2
Mon Jan 19 15:31:12 2026 | LOOK UP | Violations: 98 | Risk: -2
Mon Jan 19 15:31:12 2026 | LOOK UP | Violations: 99 | Risk: -2
Mon Jan 19 15:31:12 2026 | LOOK UP | Violations: 100 | Risk: -2
Mon Jan 19 15:31:12 2026 | LOOK UP | Violations: 101 | Risk: -2
Mon Jan 19 15:31:12 2026 | LOOK UP | Violations: 102 | Risk: -2
Mon Jan 19 15:31:12 2026 | LOOK UP | Violations: 103 | Risk: -2
Mon Jan 19 15:31:12 2026 | LOOK UP | Violations: 104 | Risk: -2
Mon Jan 19 15:31:12 2026 | LOOK UP | Violations: 105 | Risk: -2
Mon Jan 19 15:31:12 2026 | LOOK UP | Violations: 106 | Risk: -2
Mon Jan 19 15:31:12 2026 | LOOK UP | Violations: 107 | Risk: -2
Mon Jan 19 15:31:12 2026 | LOOK UP | Violations: 108 | Risk: -2
Mon Jan 19 15:31:12 2026 | LOOK UP | Violations: 109 | Risk: -2
Mon Jan 19 15:31:12 2026 | LOOK UP | Violations: 110 | Risk: -2
Mon Jan 19 15:31:12 2026 | LOOK UP | Violations: 111 | Risk: -2
Mon Jan 19 15:31:12 2026 | LOOK UP | Violations: 112 | Risk: -2
Mon Jan 19 15:31:12 2026 | LOOK UP | Violations: 113 | Risk: -2
Mon Jan 19 15:31:12 2026 | LOOK UP | Violations: 114 | Risk: -2
Mon Jan 19 15:31:12 2026 | LOOK UP | Violations: 115 | Risk: -2
Mon Jan 19 15:31:12 2026 | LOOK UP | Violations: 116 | Risk: -2
Mon Jan 19 15:31:12 2026 | LOOK UP | Violations: 117 | Risk: -2
Mon Jan 19 15:31:12 2026 | LOOK UP | Violations: 118 | Risk: -2
Mon Jan 19 15:31:12 2026 | LOOK UP | Violations: 119 | Risk: -2
Mon Jan 19 15:31:12 2026 | LOOK UP | Violations: 120 | Risk: -2
Mon Jan 19 15:31:12 2026 | LOOK UP | Violations: 121 | Risk: -2
Mon Jan 19 15:31:12 2026 | LOOK UP | Violations: 122 | Risk: -2
Mon Jan 19 15:31:12 2026 | LOOK UP | Violations: 123 | Risk: -2
Mon Jan 19 15:31:13 2026 | LOOK UP | Violations: 124 | Risk: -2
Mon Jan 19 15:31:13 2026 | LOOK UP | Violations: 125 | Risk: -2
Mon Jan 19 15:31:13 2026 | LOOK UP | Violations: 126 | Risk: -2
Mon Jan 19 15:31:13 2026 | LOOK UP | Violations: 127 | Risk: -2
Mon Jan 19 15:31:13 2026 | LOOK UP | Violations: 128 | Risk: -2
Mon Jan 19 15:31:13 2026 | LOOK UP | Violations: 129 | Risk: -2
Mon Jan 19 15:31:13 2026 | LOOK UP | Violations: 130 | Risk: -2
Mon Jan 19 15:31:13 2026 | LOOK UP | Violations: 131 | Risk: -2
Mon Jan 19 15:31:13 2026 | LOOK UP | Violations: 132 | Risk: -2
Mon Jan 19 15:31:13 2026 | LOOK UP | Violations: 133 | Risk: -2
Mon Jan 19 15:31:13 2026 | LOOK UP | Violations: 134 | Risk: -2
Mon Jan 19 15:31:13 2026 | LOOK UP | Violations: 135 | Risk: -2
Mon Jan 19 15:31:13 2026 | LOOK UP | Violations: 136 | Risk: -2
Mon Jan 19 15:31:13 2026 | LOOK UP | Violations: 137 | Risk: -2
Mon Jan 19 15:31:13 2026 | LOOK UP | Violations: 138 | Risk: -2
Mon Jan 19 15:31:13 2026 | LOOK UP | Violations: 139 | Risk: -2
Mon Jan 19 15:31:13 2026 | LOOK UP | Violations: 140 | Risk: -2
Mon Jan 19 15:31:13 2026 | LOOK UP | Violations: 141 | Risk: -2
Mon Jan 19 15:31:13 2026 | LOOK UP | Violations: 142 | Risk: -2
Mon Jan 19 15:31:13 2026 | LOOK UP | Violations: 143 | Risk: -2
Mon Jan 19 15:31:13 2026 | LOOK UP | Violations: 144 | Risk: -2
Mon Jan 19 15:31:13 2026 | LOOK UP | Violations: 145 | Risk: -2
Mon Jan 19 15:31:13 2026 | LOOK UP | Violations: 146 | Risk: -2
Mon Jan 19 15:31:13 2026 | LOOK UP | Violations: 147 | Risk: -2
Mon Jan 19 15:31:13 2026 | LOOK UP | Violations: 148 | Risk: -2
Mon Jan 19 15:31:13 2026 | LOOK UP | Violations: 149 | Risk: -2
Mon Jan 19 15:31:13 2026 | LOOK UP | Violations: 150 | Risk: -2
Mon Jan 19 15:31:13 2026 | LOOK UP | Violations: 151 | Risk: -2
Mon Jan 19 15:31:13 2026 | LOOK UP | Violations: 152 | Risk: -2
Mon Jan 19 15:31:13 2026 | LOOK UP | Violations: 153 | Risk: -2
Mon Jan 19 15:31:14 2026 | LOOK UP | Violations: 154 | Risk: -2
Mon Jan 19 15:31:14 2026 | LOOK UP | Violations: 155 | Risk: -2
Mon Jan 19 15:31:14 2026 | LOOK UP | Violations: 156 | Risk: -2
Mon Jan 19 15:31:14 2026 | LOOK UP | Violations: 157 | Risk: -2
Mon Jan 19 15:31:14 2026 | LOOK UP | Violations: 158 | Risk: -2
Mon Jan 19 15:31:14 2026 | LOOK UP | Violations: 159 | Risk: -2
Mon Jan 19 15:31:14 2026 | LOOK UP | Violations: 160 | Risk: -2
Mon Jan 19 15:31:14 2026 | LOOK UP | Violations: 161 | Risk: -2
Mon Jan 19 15:31:14 2026 | LOOK UP | Violations: 162 | Risk: -2
Mon Jan 19 15:31:14 2026 | LOOK UP | Violations: 163 | Risk: -2
Mon Jan 19 15:31:14 2026 | LOOK UP | Violations: 164 | Risk: -2
Mon Jan 19 15:31:14 2026 | LOOK UP | Violations: 165 | Risk: -2
Mon Jan 19 15:31:14 2026 | LOOK UP | Violations: 166 | Risk: -2
Mon Jan 19 15:31:14 2026 | LOOK UP | Violations: 167 | Risk: -2
Mon Jan 19 15:31:14 2026 | LOOK UP | Violations: 168 | Risk: -2
Mon Jan 19 15:31:14 2026 | LOOK UP | Violations: 169 | Risk: -2
Mon Jan 19 15:31:14 2026 | LOOK UP | Violations: 170 | Risk: -2
Mon Jan 19 15:31:14 2026 | LOOK UP | Violations: 171 | Risk: -2
Mon Jan 19 15:31:14 2026 | LOOK UP | Violations: 172 | Risk: -2
Mon Jan 19 15:31:14 2026 | LOOK UP | Violations: 173 | Risk: -2
Mon Jan 19 15:31:14 2026 | LOOK UP | Violations: 174 | Risk: -2
Mon Jan 19 15:31:14 2026 | LOOK UP | Violations: 175 | Risk: -2
Mon Jan 19 15:31:14 2026 | LOOK UP | Violations: 176 | Risk: -2
Mon Jan 19 15:31:14 2026 | LOOK UP | Violations: 177 | Risk: -2
Mon Jan 19 15:31:14 2026 | LOOK UP | Violations: 178 | Risk: -2
Mon Jan 19 15:31:14 2026 | LOOK UP | Violations: 179 | Risk: -2
Mon Jan 19 15:31:14 2026 | LOOK UP | Violations: 180 | Risk: -2
Mon Jan 19 15:31:14 2026 | LOOK UP | Violations: 181 | Risk: -2
Mon Jan 19 15:31:14 2026 | LOOK UP | Violations: 182 | Risk: -2
Mon Jan 19 15:31:14 2026 | LOOK UP | Violations: 183 | Risk: -2
Mon Jan 19 15:31:15 2026 | LOOK UP | Violations: 184 | Risk: -2
Mon Jan 19 15:31:15 2026 | LOOK UP | Violations: 185 | Risk: -2
Mon Jan 19 15:31:15 2026 | LOOK UP | Violations: 186 | Risk: -2
Mon Jan 19 15:31:15 2026 | LOOK UP | Violations: 187 | Risk: -2
Mon Jan 19 15:31:15 2026 | LOOK UP | Violations: 188 | Risk: -2
Mon Jan 19 15:31:15 2026 | LOOK UP | Violations: 189 | Risk: -2
Mon Jan 19 15:31:15 2026 | LOOK UP | Violations: 190 | Risk: -2
Mon Jan 19 15:31:15 2026 | LOOK UP | Violations: 191 | Risk: -2
Mon Jan 19 15:31:15 2026 | LOOK UP | Violations: 192 | Risk: -2
Mon Jan 19 15:31:15 2026 | LOOK UP | Violations: 193 | Risk: -2
Mon Jan 19 15:31:15 2026 | LOOK UP | Violations: 194 | Risk: -2
Mon Jan 19 15:31:15 2026 | LOOK UP | Violations: 195 | Risk: -2
Mon Jan 19 15:31:15 2026 | LOOK UP | Violations: 196 | Risk: -2
Mon Jan 19 15:31:15 2026 | LOOK UP | Violations: 197 | Risk: -2
Mon Jan 19 15:31:15 2026 | LOOK UP | Violations: 198 | Risk: -2
Mon Jan 19 15:31:15 2026 | LOOK UP | Violations: 199 | Risk: -2
Mon Jan 19 15:31:15 2026 | LOOK UP | Violations: 200 | Risk: -2
Mon Jan 19 15:31:15 2026 | LOOK UP | Violations: 201 | Risk: -2
Mon Jan 19 15:31:15 2026 | LOOK UP | Violations: 202 | Risk: -2
Mon Jan 19 15:31:15 2026 | LOOK UP | Violations: 203 | Risk: -2
Mon Jan 19 15:31:15 2026 | LOOK UP | Violations: 204 | Risk: -2
Mon Jan 19 15:31:15 2026 | LOOK UP | Violations: 205 | Risk: -2
Mon Jan 19 15:31:15 2026 | LOOK UP | Violations: 206 | Risk: -2
Mon Jan 19 15:31:15 2026 | LOOK UP | Violations: 207 | Risk: -2
Mon Jan 19 15:31:15 2026 | LOOK UP | Violations: 208 | Risk: -2
Mon Jan 19 15:31:15 2026 | LOOK UP | Violations: 209 | Risk: -2
Mon Jan 19 15:31:15 2026 | LOOK UP | Violations: 210 | Risk: -2
Mon Jan 19 15:31:15 2026 | LOOK UP | Violations: 211 | Risk: -2
Mon Jan 19 15:31:15 2026 | LOOK UP | Violations: 212 | Risk: -2
Mon Jan 19 15:31:15 2026 | LOOK UP | Violations: 213 | Risk: -2
Mon Jan 19 15:31:16 2026 | LOOK UP | Violations: 214 | Risk: -2
Mon Jan 19 15:31:16 2026 | LOOK UP | Violations: 215 | Risk: -2
Mon Jan 19 15:31:16 2026 | LOOK UP | Violations: 216 | Risk: -2
Mon Jan 19 15:31:16 2026 | LOOK UP | Violations: 217 | Risk: -2
Mon Jan 19 15:31:16 2026 | LOOK UP | Violations: 218 | Risk: -2
Mon Jan 19 15:31:16 2026 | LOOK UP | Violations: 219 | Risk: -2
Mon Jan 19 15:31:16 2026 | LOOK UP | Violations: 220 | Risk: -2
Mon Jan 19 15:31:16 2026 | LOOK UP | Violations: 221 | Risk: -2
Mon Jan 19 15:31:16 2026 | LOOK UP | Violations: 222 | Risk: -2
Mon Jan 19 15:31:16 2026 | LOOK UP | Violations: 223 | Risk: -2
Mon Jan 19 15:31:16 2026 | LOOK UP | Violations: 224 | Risk: -2
Mon Jan 19 15:31:16 2026 | LOOK UP | Violations: 225 | Risk: -2
Mon Jan 19 15:31:16 2026 | LOOK UP | Violations: 226 | Risk: -2
Mon Jan 19 15:31:16 2026 | LOOK UP | Violations: 227 | Risk: -2
Mon Jan 19 15:31:16 2026 | LOOK UP | Violations: 228 | Risk: -2
